outcome,species_diversity_index,soil_compaction_kpa,canopy_width_m,nearest_traffic_lane_m,watering_visits_monthly,trunk_diameter_cm,leaf_chlorophyll_index,root_zone_area_m2,summer_heat_days,pest_damage_pct,sidewalk_width_m,night_light_lux
thrives,0.726,232.109,5.97,8.623,2.744,34.503,48.913,5.506,21.164,13.34,2.438,73.534
thrives,0.516,280.953,5.356,10.394,2.453,34.228,37.265,7.021,20.042,14.134,1.609,104.163
thrives,0.533,234.029,4.524,5.118,3.322,27.075,46.1,6.027,23.197,5.916,2.164,127.238
thrives,0.263,224.763,5.573,5.73,1.519,36.335,38.148,6.713,24.073,29.915,3.752,120.093
thrives,0.741,248.323,6.297,3.703,5.201,34.853,42.928,7.564,10.838,19.376,3.11,60.96
thrives,0.456,242.247,6.057,2.298,2.527,31.49,50.786,8.282,33.589,23.802,2.409,222.385
thrives,0.822,179.449,9.09,6.506,3.588,47.207,52.506,9.724,10.885,3.642,2.564,77.285
declines,0.811,183.733,7.719,4.151,4.161,45.959,35.821,10.445,21.204,9.228,1.844,172.221
declines,0.353,292.285,3.746,6.709,3.64,26.224,38.259,7.573,30.717,28.209,1.639,189.105
declines,0.677,197.469,5.728,7.423,2.211,26.567,42.171,7.113,10.88,18.261,2.35,160.616
thrives,0.816,208.109,8.095,8.008,5.754,53.744,48.089,8.616,28.945,0.0,2.479,184.506
declines,0.252,273.139,3.251,1.657,2.979,25.127,35.99,8.137,33.648,34.786,2.673,216.478
thrives,0.465,297.571,5.904,3.774,3.302,32.309,40.927,7.818,24.502,8.499,2.363,140.046
thrives,0.607,229.948,4.662,7.891,4.629,28.937,40.205,5.607,20.892,12.51,3.491,138.156
declines,0.521,281.837,3.842,3.331,1.989,24.038,32.098,9.886,25.746,27.773,2.74,325.968
thrives,0.831,176.02,4.857,7.178,3.722,35.103,52.374,8.368,13.879,15.29,1.827,173.294
thrives,0.663,188.645,6.8,5.842,4.122,38.721,44.073,9.825,16.4,17.625,3.203,208.002
thrives,0.91,163.418,7.276,9.633,4.281,41.933,49.884,7.246,23.893,6.087,2.866,250.733
declines,0.471,270.975,5.077,7.36,2.735,30.756,35.712,6.514,22.662,9.068,1.823,109.163
thrives,0.678,294.355,5.784,3.014,4.215,30.199,40.795,8.298,17.526,22.184,2.443,58.309
thrives,0.947,147.397,8.763,10.456,5.859,46.463,59.165,9.979,29.351,3.457,2.288,161.628
declines,0.318,321.26,2.933,0.767,0.622,29.567,29.517,5.346,13.012,19.997,3.65,215.641
thrives,0.866,195.73,6.438,10.104,4.769,34.673,43.047,9.85,15.613,0.432,2.862,189.252
thrives,0.628,183.719,5.836,5.918,2.043,36.469,53.942,5.752,24.066,8.019,3.668,195.958
thrives,0.576,173.515,7.886,5.697,3.177,35.979,45.895,10.121,29.348,14.886,4.138,228.113
thrives,0.562,196.679,5.887,0.771,2.82,31.606,49.333,8.856,25.681,18.782,3.523,313.487
thrives,0.768,234.131,7.932,7.487,3.64,40.313,49.202,7.588,19.428,7.047,2.111,147.896
thrives,0.682,216.661,7.137,3.835,3.392,38.448,45.892,9.071,17.98,18.208,2.397,250.993
thrives,0.701,221.945,6.402,7.397,5.124,43.52,44.859,9.217,32.282,16.441,2.513,299.913
declines,0.583,266.002,3.532,1.73,2.745,26.768,27.537,6.22,24.162,9.394,1.76,66.997
thrives,0.709,215.959,10.169,5.011,3.049,52.927,39.907,9.967,20.08,8.924,2.79,195.462
declines,0.647,212.704,7.264,7.333,2.034,38.136,34.573,10.04,24.878,16.555,2.938,134.85
thrives,0.55,219.404,7.411,4.098,4.464,38.599,36.652,10.356,20.426,20.956,2.282,212.061
thrives,0.563,237.876,7.594,6.333,5.455,49.446,47.151,9.876,25.14,6.836,2.288,148.737
thrives,0.424,224.56,5.047,4.497,3.502,28.908,44.206,9.442,26.253,16.27,2.375,213.819
thrives,0.713,209.229,5.838,5.997,4.754,36.185,42.07,9.669,30.008,10.576,1.439,109.569
declines,0.325,333.937,4.909,1.266,2.554,36.198,30.826,5.134,12.895,26.512,1.459,247.948
thrives,0.395,232.49,5.952,3.247,3.452,37.644,35.452,8.536,25.843,2.214,3.229,114.202
declines,0.618,186.802,5.851,6.241,1.526,35.525,37.269,7.778,26.634,14.208,2.82,112.591
thrives,0.789,260.812,6.117,4.438,4.769,28.488,36.701,11.046,21.717,22.931,3.229,197.666
thrives,0.782,200.377,7.105,4.421,2.667,43.583,39.752,8.385,40.873,8.322,2.172,112.789
thrives,0.876,166.466,7.945,9.623,7.097,44.808,43.632,10.244,10.607,0.603,2.653,211.028
thrives,0.648,197.521,5.407,8.04,5.562,28.224,44.298,11.605,26.425,0.081,2.824,203.396
thrives,0.675,195.771,8.319,6.448,4.359,49.67,49.212,8.917,26.777,10.695,2.011,98.66
thrives,0.73,203.772,7.009,6.363,4.458,43.194,54.314,7.848,22.218,7.574,3.373,237.521
thrives,0.877,177.608,9.869,7.37,4.521,48.925,50.09,11.522,0.584,2.724,3.019,281.524
declines,0.251,311.981,2.731,2.942,1.748,26.053,26.085,5.62,26.642,24.984,2.146,206.876
declines,0.421,298.929,8.54,2.795,4.37,41.758,37.139,11.106,35.111,20.729,2.315,256.335
