status,temp_c,vibration_mm_s,pressure_pa
ok,61.96,2.95,100074.4
ok,62.32,4.21,101887.0
ok,63.97,3.45,101655.4
ok,66.14,3.92,101053.9
ok,66.28,3.26,100207.3
ok,63.61,2.51,99844.7
faulty,66.3,5.68,101116.7
faulty,68.54,4.47,101394.5
ok,65.84,2.43,101516.2
ok,64.18,3.86,101866.6
faulty,68.18,6.69,99019.2
ok,64.65,3.19,102383.7
ok,66.16,1.85,99499.3
ok,64.17,3.39,100756.5
faulty,70.55,5.23,100636.7
ok,66.0,2.7,99230.5
ok,65.59,2.15,101597.1
ok,64.85,3.59,102572.9
ok,64.91,3.52,101440.7
ok,64.64,1.5,99165.6
ok,66.83,3.55,99891.4
ok,63.47,3.07,100601.3
faulty,66.01,3.92,99398.9
faulty,65.4,3.76,100177.8
faulty,66.92,5.31,100865.1
ok,63.2,2.57,99990.2
faulty,67.37,4.68,98701.2
faulty,66.33,3.93,99638.0
ok,65.88,2.49,100388.6
ok,61.73,2.73,100920.0
faulty,67.83,4.05,101124.9
faulty,65.8,4.97,100056.9
faulty,67.27,5.17,99630.4
ok,63.2,2.32,99318.0
faulty,68.55,5.36,98153.0
faulty,66.52,4.94,100801.0
ok,65.5,2.43,101425.7
faulty,70.14,2.98,97626.6
ok,67.31,2.83,101070.6
faulty,63.9,4.84,103159.4
faulty,70.06,5.0,101258.6
ok,64.26,2.26,100073.3
faulty,68.56,4.18,100943.0
ok,65.46,3.32,100685.2
faulty,70.02,3.34,102735.4
faulty,70.87,4.33,101304.9
ok,67.08,2.39,100824.3
faulty,67.34,3.4,99680.8
faulty,64.81,5.26,102885.2
ok,60.63,1.41,100446.4
ok,64.34,2.49,101396.2
ok,65.15,2.55,100740.6
ok,63.57,2.24,101592.1
ok,60.7,2.12,100966.9
ok,61.63,3.29,101809.3
ok,67.55,1.22,101475.4
ok,66.47,3.67,97957.7
ok,67.18,2.49,101542.6
faulty,60.77,5.15,101555.3
faulty,68.95,3.6,100681.0
