outcome,honey_stores_kg,autumn_hive_mass_kg,varroa_mite_index,forager_traffic_per_min,brood_frames,daily_temp_swing_c,queen_age_years,insulation_thickness_mm,hive_age_years,distance_to_water_m,ambient_noise_db,apiary_elevation_m
struggles,10.36,27.04,3.36,31.1,7.72,16.36,2.58,20.01,8.71,328.11,50.28,633.11
thrives,21.49,35.18,2.08,44.77,9.38,8.71,0.45,12.79,3.11,127.45,41.61,359.0
thrives,20.21,35.04,1.5,31.26,6.31,6.39,0.81,22.91,6.03,105.4,48.23,519.32
struggles,11.24,29.09,2.67,31.64,5.14,9.66,3.04,21.81,2.53,363.28,49.72,333.49
thrives,20.09,34.33,1.56,46.03,8.6,9.68,2.12,21.83,4.46,380.09,51.59,341.87
thrives,15.57,30.78,3.5,38.1,5.87,12.41,1.65,20.21,6.11,324.83,53.83,295.77
thrives,9.83,28.5,2.82,30.55,5.86,9.57,3.15,13.12,5.0,236.41,49.44,462.9
thrives,21.3,37.7,0.48,49.61,10.23,8.37,0.51,28.45,7.17,217.94,48.71,357.53
thrives,10.51,25.27,2.5,37.12,5.97,9.45,3.46,25.53,7.94,196.86,36.35,369.2
thrives,13.01,27.93,3.45,29.13,6.88,14.24,2.86,22.35,4.99,249.46,47.69,440.08
thrives,14.73,30.62,3.68,36.45,6.04,9.07,2.24,26.5,7.0,257.61,49.44,510.5
thrives,16.33,30.91,1.54,36.89,7.69,5.24,2.59,20.42,2.88,260.71,46.08,543.75
thrives,15.72,29.81,3.02,36.91,6.6,7.91,2.48,27.28,10.11,205.67,34.82,440.59
thrives,14.0,31.73,1.46,46.35,8.01,7.88,1.95,36.76,1.13,211.51,42.97,306.27
struggles,8.16,25.51,4.51,18.05,7.06,15.42,3.14,32.43,9.45,386.63,43.48,629.27
struggles,11.77,26.21,3.83,31.19,4.98,11.0,1.85,20.86,3.51,181.05,62.33,482.94
thrives,16.67,30.85,0.61,38.83,6.4,9.09,1.49,16.41,2.49,255.95,31.31,415.21
thrives,17.62,31.72,1.57,44.81,5.84,8.26,0.8,16.88,6.84,407.79,43.53,347.66
struggles,11.86,29.39,4.41,33.8,3.33,11.64,2.07,23.09,4.58,100.01,39.31,642.94
thrives,17.65,33.96,1.06,40.0,7.32,7.08,2.62,27.63,4.4,20.0,58.38,373.89
struggles,8.1,25.13,4.39,31.57,5.45,9.44,3.24,25.82,4.24,140.54,51.48,232.09
thrives,18.52,32.84,1.77,40.01,8.46,3.4,2.92,17.47,4.73,107.82,43.45,465.78
thrives,22.1,36.0,0.82,47.23,7.59,7.14,2.55,11.29,0.2,298.71,58.16,396.63
thrives,16.24,33.11,2.11,45.56,7.19,9.3,1.13,16.82,6.47,204.9,48.22,441.05
thrives,13.79,30.18,0.84,39.58,7.08,8.27,1.66,29.28,6.47,271.64,52.46,423.84
thrives,22.5,36.34,0.0,46.02,8.15,4.98,0.67,20.52,7.96,306.1,60.82,350.13
thrives,12.22,25.46,3.5,34.02,4.39,11.12,2.65,21.79,7.23,335.82,55.12,309.09
thrives,23.93,40.22,0.22,51.64,7.53,7.58,0.1,10.66,5.27,135.25,47.58,433.01
thrives,19.03,32.38,1.03,44.41,9.96,10.0,0.1,6.7,9.01,210.86,51.78,510.32
struggles,15.85,31.25,3.33,28.59,4.9,8.2,2.3,17.97,2.77,324.79,44.25,353.49
struggles,13.75,28.51,2.27,35.03,6.32,9.67,0.68,9.55,5.97,346.2,37.91,414.97
struggles,12.69,27.54,2.34,35.98,6.89,7.71,0.49,20.73,6.5,118.91,58.28,391.82
struggles,13.54,32.16,3.7,40.51,5.14,9.6,1.12,23.92,5.73,330.91,60.44,327.84
struggles,7.96,26.13,1.63,34.25,5.94,8.33,2.98,31.89,1.85,158.12,56.43,494.68
struggles,14.4,30.72,2.49,27.61,6.57,6.46,2.91,19.91,2.61,368.48,37.54,440.09
struggles,9.73,26.6,4.42,25.25,4.84,11.61,2.42,25.19,8.86,140.96,37.32,494.13
struggles,15.52,31.8,3.03,37.06,5.88,7.9,1.86,20.79,3.07,127.59,54.29,442.83
struggles,16.55,31.67,2.07,33.43,7.7,11.99,1.43,26.65,2.47,308.13,37.03,401.88
struggles,5.91,23.77,4.35,17.11,3.56,11.97,3.14,17.5,5.25,185.23,39.9,356.57
struggles,6.52,23.53,3.49,21.63,2.6,9.32,2.97,19.76,7.31,214.94,36.23,549.87
thrives,21.56,37.45,0.87,48.79,8.55,7.21,0.39,28.19,3.92,196.92,41.59,353.63
thrives,12.32,29.27,0.55,39.1,7.66,11.35,3.62,31.7,7.35,329.35,45.4,214.27
thrives,15.45,30.09,1.16,33.06,7.35,8.42,1.25,18.59,6.04,280.62,50.35,424.66
struggles,5.38,23.4,4.54,20.9,5.88,11.03,3.04,16.92,2.03,231.7,34.0,368.06
thrives,17.32,31.63,2.52,43.66,9.51,8.03,1.1,25.89,7.81,263.85,50.69,410.8
struggles,11.65,25.88,2.94,31.45,6.36,9.2,1.58,32.09,6.26,172.69,51.43,502.67
thrives,12.69,29.73,2.4,24.39,6.59,9.11,1.31,14.44,8.96,335.12,47.82,397.0
thrives,18.41,33.22,2.38,25.38,7.62,7.5,2.35,15.44,5.8,139.94,47.19,639.34
thrives,22.61,36.92,1.24,43.54,10.25,8.32,2.52,23.01,0.2,216.15,54.25,624.72
thrives,19.02,35.13,1.37,47.31,8.06,6.69,0.41,26.99,1.57,164.86,51.11,563.15
thrives,10.34,28.31,2.92,47.13,8.24,11.98,2.57,28.55,8.74,185.96,37.68,380.45
thrives,12.05,26.43,3.82,33.73,5.18,9.69,2.5,29.57,8.23,245.59,46.98,429.58
struggles,13.06,29.07,1.12,29.14,6.08,8.27,1.04,24.85,5.81,179.54,44.83,523.38
thrives,14.48,28.29,0.72,35.93,7.75,8.82,1.3,22.14,2.69,233.83,43.24,340.01
thrives,18.92,33.01,0.92,44.08,7.32,5.27,1.62,21.87,5.21,402.75,51.2,395.91
struggles,12.05,29.01,2.67,30.58,8.01,8.53,1.99,21.68,4.37,240.87,30.57,436.11
struggles,13.72,28.96,2.11,30.21,4.68,8.32,1.66,24.39,4.14,383.39,40.14,349.02
struggles,13.17,31.67,1.93,35.71,3.82,9.82,3.19,10.34,5.17,327.26,53.64,410.92
struggles,17.12,33.03,0.95,43.21,7.74,6.7,0.1,12.85,5.51,431.7,35.09,187.13
thrives,18.57,35.19,2.87,50.79,7.47,6.4,2.33,23.84,12.92,267.05,37.73,483.05
thrives,16.83,32.79,2.46,41.47,7.93,11.36,2.08,22.54,9.92,284.58,43.9,400.3
thrives,12.57,27.56,4.16,18.71,6.02,9.82,2.38,13.95,1.67,328.66,42.06,335.84
thrives,21.08,37.58,2.55,46.96,7.39,6.42,0.17,31.32,3.1,101.84,36.37,355.69
struggles,3.71,20.49,4.47,27.43,4.3,17.55,2.46,5.72,0.2,304.6,60.17,366.9
thrives,14.24,28.47,1.99,32.8,5.84,6.0,0.67,24.41,5.02,217.28,37.3,460.28
struggles,9.56,23.99,3.85,21.44,5.88,10.68,1.95,31.54,2.26,320.54,51.64,427.85
thrives,21.88,36.62,1.35,37.52,9.5,7.65,0.59,24.18,4.82,228.2,33.65,356.43
thrives,14.46,30.78,3.5,33.44,7.27,11.88,1.56,14.19,1.93,302.47,39.53,633.25
thrives,16.6,31.62,1.99,35.07,6.92,5.1,2.36,21.24,4.61,326.55,44.81,318.3
thrives,15.69,28.71,2.3,31.0,8.29,10.81,0.28,16.07,5.48,193.82,48.81,596.14
thrives,14.68,29.92,1.68,41.83,8.22,4.01,1.08,19.49,4.32,245.25,56.54,556.96
thrives,21.04,38.79,0.0,45.07,8.84,9.1,0.98,31.92,4.01,233.13,45.84,265.87
struggles,4.1,21.85,5.26,18.12,5.04,11.36,2.55,21.77,5.0,146.37,51.68,414.78
thrives,18.78,34.37,0.0,50.37,8.59,6.71,2.17,30.68,5.52,273.81,50.25,466.7
struggles,12.55,30.07,3.68,29.11,6.38,9.48,2.02,15.43,7.53,110.88,42.13,391.02
struggles,2.58,19.48,6.82,17.5,0.94,12.92,3.41,25.46,4.12,258.87,44.7,373.86
struggles,14.02,27.72,1.54,34.3,6.32,8.46,2.01,32.83,3.0,189.38,39.68,342.7
thrives,16.07,31.25,2.05,45.95,7.74,11.44,1.68,27.07,3.86,296.91,45.29,528.6
struggles,4.84,20.25,5.62,21.74,1.94,10.73,2.57,21.08,5.09,303.74,38.82,183.83
struggles,9.87,25.84,2.91,25.75,3.64,11.39,2.96,12.25,5.02,276.56,55.83,521.93
struggles,10.43,24.91,4.34,21.7,5.24,14.45,2.19,15.11,7.64,241.01,43.7,500.04
struggles,7.65,23.15,4.84,22.99,2.9,7.3,1.95,30.4,5.59,196.02,38.68,371.25
thrives,17.3,32.55,2.12,31.9,6.75,10.43,2.72,20.63,3.61,233.98,21.26,361.7
