species,length_mm,width_mm,mass_g,moisture_pct
brio,15.11,7.36,0.569,10.69
cava,17.14,8.78,0.868,13.19
brio,12.96,6.22,0.625,10.99
alba,11.41,5.53,0.494,11.19
alba,12.62,6.15,0.298,9.13
cava,16.05,7.04,0.825,11.4
alba,13.06,5.45,0.379,9.49
brio,12.34,8.64,0.583,10.56
brio,13.82,6.81,0.624,12.45
brio,13.27,7.95,0.554,11.95
cava,15.99,7.17,0.653,12.92
alba,12.94,5.79,0.377,11.12
alba,12.21,5.6,0.392,10.63
cava,14.2,8.8,0.788,11.24
brio,12.29,6.74,0.617,10.23
brio,12.75,6.46,0.452,11.3
alba,12.21,5.75,0.524,10.76
alba,12.68,5.74,0.078,10.06
brio,13.46,6.72,0.559,10.75
cava,17.48,8.3,0.698,12.62
cava,16.23,7.12,0.929,13.57
alba,12.28,5.89,0.232,10.1
cava,13.89,8.5,0.763,12.66
brio,13.22,7.82,0.581,12.12
brio,12.89,6.46,0.721,10.6
alba,10.63,6.17,0.39,10.78
alba,11.05,5.18,0.417,10.48
alba,12.37,5.55,0.444,9.92
cava,14.58,7.48,0.836,12.71
alba,8.7,5.67,0.352,11.09
brio,10.35,6.48,0.636,11.46
brio,12.71,7.68,0.739,10.93
cava,14.31,7.51,0.749,12.21
cava,15.31,8.25,0.908,12.19
alba,12.2,5.0,0.492,10.98
cava,13.6,8.39,0.724,11.66
alba,12.43,6.06,0.384,10.5
cava,15.07,7.54,0.894,12.26
cava,16.44,7.73,0.909,11.02
cava,15.48,8.3,0.848,11.54
cava,14.92,8.35,0.856,12.38
alba,9.69,6.68,0.537,11.32
brio,13.22,7.0,0.617,10.31
brio,15.15,7.57,0.775,11.61
brio,14.12,6.47,0.685,10.72
cava,15.68,8.31,0.899,12.23
cava,15.59,7.59,0.939,11.93
brio,14.58,6.04,0.638,12.7
alba,10.87,6.66,0.458,11.7
brio,11.42,7.45,0.61,11.74
cava,15.19,6.97,0.752,12.26
cava,13.28,8.47,0.827,11.29
brio,11.75,5.66,0.549,12.05
cava,15.79,8.0,0.921,12.04
brio,14.4,6.6,0.647,10.76
cava,14.6,8.17,0.904,13.45
alba,12.01,6.21,0.433,10.84
cava,15.57,8.09,0.795,12.24
alba,10.34,6.95,0.384,11.19
alba,10.88,6.54,0.414,9.96
alba,11.87,5.6,0.488,11.2
alba,12.74,5.84,0.411,9.92
cava,14.27,6.94,0.705,10.96
cava,15.84,7.23,0.812,11.74
brio,15.14,7.34,0.414,10.18
alba,10.72,5.43,0.281,9.95
cava,16.06,7.79,0.795,11.9
alba,10.06,5.55,0.488,10.71
cava,13.89,7.49,0.761,13.14
brio,14.56,6.8,0.594,11.61
alba,10.77,6.35,0.475,10.68
brio,14.19,6.79,0.529,11.8
cava,15.23,8.49,0.779,11.97
alba,11.54,5.97,0.483,10.64
alba,9.14,5.61,0.341,10.19
brio,14.52,6.57,0.698,11.29
brio,14.41,7.78,0.788,12.41
cava,14.62,7.67,0.785,12.46
brio,10.76,7.12,0.608,11.53
brio,12.97,7.61,0.668,12.23
alba,10.32,6.34,0.254,11.02
alba,12.93,6.55,0.235,9.87
brio,13.88,6.94,0.748,11.73
alba,11.91,6.15,0.245,10.12
brio,12.75,6.98,0.625,10.98
brio,10.46,6.06,0.671,12.48
brio,14.0,6.01,0.631,11.77
alba,11.28,5.58,0.48,11.61
cava,13.9,7.92,0.742,11.74
cava,14.19,7.59,0.86,11.27
